/news/uk
descriptors,image links,article name,article link
"['pa', 'people', 'london']","['https://static.independent.co.uk/2021/11/17/19/PRI210719442.jpg', 'https://static.independent.co.uk/2022/03/14/17/SEI93459709-1.jpg', 'https://static.independent.co.uk/2022/03/14/17/SEI93180862.jpg', 'https://static.independent.co.uk/2022/03/14/17/SEI92969637.jpg', 'https://static.independent.co.uk/2022/03/11/16/SEI92791677.jpg', 'https://static.independent.co.uk/2022/03/10/16/ANIMALS%20Crufts%20%2008133120.jpg', 'https://static.independent.co.uk/2022/03/09/17/SEI92445002.jpg', 'https://static.independent.co.uk/2022/03/09/17/SEI92398521.jpg', 'https://static.independent.co.uk/2022/03/07/17/SEI92017265-1.jpg', 'https://static.independent.co.uk/2022/03/06/15/SEI91859414.jpg', 'https://static.independent.co.uk/2022/03/05/18/SEI91647124.jpg', 'https://static.independent.co.uk/2022/03/04/17/SEI91468839.jpg', 'https://static.independent.co.uk/2022/03/03/14/09798497.jpg', 'https://static.independent.co.uk/2022/03/03/14/POLITICS%20Ukraine%20House%2012183280.jpg', 'https://static.independent.co.uk/2022/03/01/18/SOCIAL%20Shrovetide%20%20%2014554133.jpg', 'https://static.independent.co.uk/2022/02/28/17/SEI90727325.jpg', 'https://static.independent.co.uk/2022/02/27/17/SEI90499701-1.jpg', 'https://static.independent.co.uk/2022/02/26/18/SEI90327353-1.jpg', 'https://static.independent.co.uk/2022/02/25/17/POLITICS%20Ukraine%20Scotland%2015332858.jpg', 'https://static.independent.co.uk/2022/02/24/14/newFile-5.jpg', 'https://static.independent.co.uk/2022/02/23/18/SEI89605667-1.jpg', 'https://static.independent.co.uk/2022/02/22/16/1372137007.jpg', 'https://static.independent.co.uk/2022/02/21/16/SEI89315329-1.jpg', 'https://static.independent.co.uk/2022/02/20/19/SEI89195129.jpg', 'https://static.independent.co.uk/2022/02/19/19/SEI88934120.jpg', 'https://static.independent.co.uk/2022/02/17/17/SEI88587469.jpg', 'https://static.independent.co.uk/2022/02/16/17/PRI223862289.jpg', 'https://static.independent.co.uk/2022/02/15/12/2022-02-15T081032Z_124852937_SP1EI2F0MPG8A_RTRMADP_3_OLYMPICS-2022-CURLING.JPG', 'https://static.independent.co.uk/2022/02/14/16/PRI223522721.jpg', 'https://static.independent.co.uk/2022/02/13/17/SOCIAL%20Steampunk%20%2015453744.jpg', 'https://static.independent.co.uk/2022/02/12/13/PROTEST%20Living%20%2013282873.jpg', 'https://static.independent.co.uk/2022/02/12/13/ENVIRONMENT%20Sheep%20%2011342997.jpg', 'https://static.independent.co.uk/2022/02/10/17/PRI222651348.jpg', 'https://static.independent.co.uk/2022/02/09/18/PRI222455837.jpg', 'https://static.independent.co.uk/2022/02/08/18/PRI222191168-1.jpg', 'https://static.independent.co.uk/2022/02/07/16/PRI222032077.jpg', 'https://static.independent.co.uk/2022/02/06/19/PRI221934021.jpg', 'https://static.independent.co.uk/2022/02/05/21/PRI221724355.jpg', 'https://static.independent.co.uk/2022/02/04/17/PRI221536195-1.jpg', 'https://static.independent.co.uk/2022/02/03/19/PRI221354051.jpg', 'https://static.independent.co.uk/2022/02/02/17/PRI221237546.jpg', 'https://static.independent.co.uk/2022/02/01/17/PRI221050240-1.jpg', 'https://static.independent.co.uk/2022/01/31/17/PRI220943121.jpg', 'https://static.independent.co.uk/2022/01/30/15/WEATHER%20Storm%20%2009152356.jpg', 'https://static.independent.co.uk/2022/01/29/20/PRI220683423.jpg', 'https://static.independent.co.uk/2022/01/28/18/PRI220566398.jpg', 'https://static.independent.co.uk/2022/01/27/16/PRI220398445.jpg', 'https://static.independent.co.uk/2022/01/26/18/PRI220235701.jpg', 'https://static.independent.co.uk/2022/01/25/19/PRI220103818.jpg', 'https://static.independent.co.uk/2022/01/24/17/PRI219953649.jpg', 'https://static.independent.co.uk/2022/01/23/19/PRI219817792.jpg']","Stopping terror attacks is ‘more difficult than ever’, police chief warns",https://www.independent.co.uk/news/uk/home-news/terror-attacks-uk-prevented-police-b1981999.html
"['schools', 'england', 'pupils']",['https://static.independent.co.uk/2021/12/28/07/16133803-bce0308c-f528-44e6-ac8f-b9318200e028.jpg'],Masks in schools to return for older children in battle to keep schools open,https://www.independent.co.uk/news/uk/politics/schools-masks-omicron-nadhim-zahawi-b1985345.html
"['eu', '–', 'brexit']",['https://static.independent.co.uk/2021/12/22/12/newFile.jpg'],"Just one EU country signs deal to rescue post-Brexit music tours, despite Boris Johnson’s vow to ‘fix’ crisis",https://www.independent.co.uk/news/uk/politics/brexit-music-touring-boris-johnson-b1980814.html
"['energy', 'boris', 'johnson']","['https://static.independent.co.uk/2022/01/01/23/1361114cf3628c1ecbec00ecf80502cfY29udGVudHNlYXJjaGFwaSwxNjQxMTYzNjg2-2.64139382.jpg', 'https://static.independent.co.uk/2022/01/01/23/e8cf51eed5e513e2475a8ef35aa358a9Y29udGVudHNlYXJjaGFwaSwxNjQxMTYzOTY5-2.55891845.jpg']",Tory MPs urge Boris Johnson to scrap taxes on rapidly rising energy bills,https://www.independent.co.uk/news/uk/tory-mps-boris-johnson-prime-minister-sunday-telegraph-chancellor-b1985425.html
"['hunt', 'police', 'three']",['https://static.independent.co.uk/2022/01/01/18/080f9c169a75da99218e2a88c97c9473Y29udGVudHNlYXJjaGFwaSwxNjQxMTQ0ODUy-2.40369403.jpg'],Three men wanted over hunt clashes identified by police,https://www.independent.co.uk/news/uk/wiltshire-police-wiltshire-b1985391.html
"['new', 'businesses', 'some']","['https://static.independent.co.uk/2022/01/01/20/2dabad01b9ce63c0034a725395dc862fY29udGVudHNlYXJjaGFwaSwxNjQxMTUzMTI3-2.57386285.jpg', 'https://static.independent.co.uk/2022/01/01/20/b31a2d17c87c9ee1fe1b7b1d0ae8176cY29udGVudHNlYXJjaGFwaSwxNjQxMTUxOTA2-2.62364450.jpg']",Ex-Brexit boss warns British businesses may ‘give up’ imports under new rules,https://www.independent.co.uk/news/uk/european-union-british-federation-of-small-businesses-government-prime-minister-b1985409.html
"['new', 'year', 'day']","['https://static.independent.co.uk/2022/01/01/19/5f87dc59fee1b41207284e67b92b37ceY29udGVudHNlYXJjaGFwaSwxNjQxMTUwMzkz-2.64553822.jpg', 'https://static.independent.co.uk/2022/01/01/19/c601972aa8f73230b4f5fd011b148ba2Y29udGVudHNlYXJjaGFwaSwxNjQxMTUwNzA4-2.64554551.jpg', 'https://static.independent.co.uk/2022/01/01/19/64a052c724ec1f1eae31630b76d4484cY29udGVudHNlYXJjaGFwaSwxNjQxMTUwOTU2-2.64554537.jpg']",Record-breaking New Year’s Eve followed by warmest New Year’s Day,https://www.independent.co.uk/news/uk/met-office-wales-azores-england-people-b1985401.html
"['world', 'africa', 'countries']",['https://static.independent.co.uk/2022/01/01/12/1237251295.jpg'],Rich nations break pledge to vaccinate 40% of Africa against Covid by end of 2021,https://www.independent.co.uk/news/uk/politics/covid-omicron-africa-vaccines-hoarding-b1985291.html
"['leader', 'march', 'ukrainian']",['https://static.independent.co.uk/2022/01/01/18/Ukraine_Nationalist_Rally_39165.jpg'],Ukraine nationalists march to honor wartime partisan leader,https://www.independent.co.uk/news/ukraine-kyiv-nazi-russia-nazis-b1985399.html
"['andrew', 'giuffre', 'her']","['https://static.independent.co.uk/2022/01/01/18/8b9864e906d477f56c5a3a1f240dc991Y29udGVudHNlYXJjaGFwaSwxNjQxMTQ3OTg4-2.43488879.jpg', 'https://static.independent.co.uk/2022/01/01/18/9b04ffb0881ab03719b0e4e30e247c20Y29udGVudHNlYXJjaGFwaSwxNjQxMTQ2NjIw-2.55141212.jpg', 'https://static.independent.co.uk/2022/01/01/18/279a7d505593417ba9c6bb1e53189845Y29udGVudHNlYXJjaGFwaSwxNjQxMTQ4MzM1-2.64532027.jpg']","Andrew cannot halt lawsuit with residency claim, US judge rules",https://www.independent.co.uk/news/uk/crime/virginia-giuffre-new-york-jeffrey-epstein-maxwell-caribbean-b1985397.html
"['arrested', 'driver', 'girl']",['https://static.independent.co.uk/2022/01/01/16/iStock-1164210967%20%281%29.jpg'],"Man arrested on suspicion of drug driving after girl, 14, killed in New Year’s Eve collision",https://www.independent.co.uk/news/uk/crime/girl-killed-sandwell-car-collision-b1985358.html
"['food', 'people', '–']",['https://static.independent.co.uk/2021/09/03/15/PRI181536817.jpg'],Food banks face turning hungry families away as demand soars in ‘bleak winter’,https://www.independent.co.uk/news/uk/politics/food-banks-supply-crisis-living-costs-b1976751.html
"['dodds', 'social', 'diane']",['https://static.independent.co.uk/2022/01/01/18/817ad751109347d5574f89c5ab41967fY29udGVudHNlYXJjaGFwaSwxNjQxMTQ1ODUy-2.59987002.jpg'],Police investigating abusive tweet sent to Diane Dodds,https://www.independent.co.uk/news/uk/police-dup-twitter-psni-bill-b1985385.html
"['zaian', 'south', 'aimable-lina']",['https://static.independent.co.uk/2022/01/01/15/5919651f75c2c6c37fe83e536bba152fY29udGVudHNlYXJjaGFwaSwxNjQxMTM4MjYw-2.64556148.jpg'],"Zaian Aimable-Lina: Boy, 15, named as victim of fatal stabbing in south London",https://www.independent.co.uk/news/uk/crime/zaian-aimablelina-stabbing-croydon-b1985368.html
"['year', 'london', 'new']","['https://static.independent.co.uk/2022/01/01/16/newFile-1.jpg', 'https://static.independent.co.uk/2022/01/01/16/newFile-2.jpg', 'https://static.independent.co.uk/2022/01/01/16/newFile-3.jpg']",Cultural dancers and bike stunt teams perform at scaled-down return of London New Year’s Day parade,https://www.independent.co.uk/news/uk/home-news/london-new-year-parade-2022-covid-b1985356.html
"['minister', 'given', 'independent']",['https://static.independent.co.uk/2022/01/01/09/1237257829.jpg'],Tories ‘rewarding their chums’ as hedge fund boss who donated almost £1.5m handed knighthood,https://www.independent.co.uk/news/uk/politics/tories-sleaze-hedge-fund-knighthood-b1985231.html
"['white', 'she', 'her']",['https://static.independent.co.uk/2022/01/01/16/d3c8c8a729f23618b8c67b0847a02474Y29udGVudHNlYXJjaGFwaSwxNjQxMTQwNzQ3-2.61609264.jpg'],Dolly Parton joins legions of stars paying tribute to Betty White,https://www.independent.co.uk/news/uk/betty-white-dolly-parton-viola-davis-joe-biden-jamie-lee-curtis-b1985369.html
"['year', 'new', 'temperatures']","['https://static.independent.co.uk/2022/01/01/14/newFile.jpg', 'https://static.independent.co.uk/2022/01/01/14/newFile-1.jpg']",Britain has warmest New Year’s Day on record as temperatures hit 16.2C,https://www.independent.co.uk/news/uk/home-news/uk-weather-new-year-record-b1985320.html
"['he', 'peter', 'his']","['https://static.independent.co.uk/2022/01/01/15/60c16a5b6614c992dea54400ead1ea00Y29udGVudHNlYXJjaGFwaSwxNjQxMTMzMjY2-2.64555129.jpg', 'https://static.independent.co.uk/2022/01/01/16/3ea8c0f714cf6ecb0b6627508e6a02e7Y29udGVudHNlYXJjaGFwaSwxNjQxMTQwMzU5-2.64546970.jpg', 'https://static.independent.co.uk/2022/01/01/15/3cd9d02b55f4f8870f158bbc3e7a446cY29udGVudHNlYXJjaGFwaSwxNjQxMTM0Mjk1-2.64555139.jpg', 'https://static.independent.co.uk/2022/01/01/16/ba4ab80cf26be7438a81360142d94523Y29udGVudHNlYXJjaGFwaSwxNjQxMTQwMTAy-2.64556029.jpg']","‘Dark cloud’ over communities after crash deaths of three friends, funeral told",https://www.independent.co.uk/news/uk/michael-moore-police-service-of-northern-ireland-church-b1985341.html
"['death', 'boy', 'london']","['https://static.independent.co.uk/2022/01/01/15/abeb46091f52f437baa728797bac9424Y29udGVudHNlYXJjaGFwaSwxNjQxMTM4MjM5-2.64546810.jpg', 'https://static.independent.co.uk/2022/01/01/15/5919651f75c2c6c37fe83e536bba152fY29udGVudHNlYXJjaGFwaSwxNjQxMTM4MjYw-2.64556148.jpg', 'https://static.independent.co.uk/2022/01/01/16/755e03092ed0bc6a04f585b76211d733Y29udGVudHNlYXJjaGFwaSwxNjQxMTM4NzE1-2.64546327.jpg']","Boy, 15, stabbed to death in Croydon named by police",https://www.independent.co.uk/news/uk/london-croydon-metropolitan-police-richard-leonard-crimestoppers-b1985352.html
"['mr', 'recognised', 'he']",['https://static.independent.co.uk/2022/01/01/16/b35a699f7c527168f8ec7c42b54ebb72Y29udGVudHNlYXJjaGFwaSwxNjQxMTM4NDEy-2.64556151.jpg'],Railway employee recognised with royal honour for life-saving charity work,https://www.independent.co.uk/news/uk/samaritans-transpennine-express-huddersfield-west-yorkshire-edinburgh-b1985355.html
"['ambulance', 'defibrillator', 'service']",['https://static.independent.co.uk/2022/01/01/15/fddb00db9a95a9c07fe86dde908ec7f2Y29udGVudHNlYXJjaGFwaSwxNjQxMTM2NzA0-2.29670019.jpg'],Life-saving ambulance defibrillator stolen minutes into new year,https://www.independent.co.uk/news/uk/north-west-ambulance-service-oldham-greater-manchester-b1985346.html
"['nhs', 'staff', 'said']","['https://static.independent.co.uk/2022/01/01/15/8c4269481e826eef45c8948757a78bd7Y29udGVudHNlYXJjaGFwaSwxNjQxMTM0NTYx-2.63512397.jpg', 'https://static.independent.co.uk/2022/01/01/15/0061cfb0503aed1bdea0badd634a4d4aY29udGVudHNlYXJjaGFwaSwxNjQxMTM0ODk3-2.64548999.jpg', 'https://static.independent.co.uk/2022/01/01/15/1912b62d32acccca938828fd701361cfY29udGVudHNlYXJjaGFwaSwxNjQxMTM0Mjc5-2.64463613.jpg']",NHS boss warns new rules may be needed to take pressure off ‘flat-out’ staff,https://www.independent.co.uk/news/uk/nhs-chris-hopson-nhs-providers-sajid-javid-chaand-nagpaul-b1985338.html
"['also', 'patel', 'said']","['https://static.independent.co.uk/2022/01/01/15/a4e6259f5fd9402258170a545ae2fd5bY29udGVudHNlYXJjaGFwaSwxNjQxMTMxODU0-2.64163968.jpg', 'https://static.independent.co.uk/2022/01/01/15/bd2f663932eb1cfdd4e074e62f3342e5Y29udGVudHNlYXJjaGFwaSwxNjQxMTM2NDI3-2.61078825.jpg']",Patel plans to ‘crack down’ on eco-protesters and asylum claims in 2022,https://www.independent.co.uk/news/uk/priti-patel-government-home-secretary-office-for-national-statistics-england-b1985342.html
